titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"ALDA ET MARIA";"Pocas PASCOAL";"141381";"Tous publics";"PORTUGAL";"14/01/2015"
"BABASTEL";"Dorian CLAIR";"140522";"Tous publics";"FRANCE";"20/01/2015"
"BEBE TIGRE";"Cyprien VIAL";"134826";"Tous publics";"FRANCE";"14/01/2015"
"CAPTIVES";"Atom EGOYAN";"141179";"Tous publics";"CANADA";"07/01/2015"
"CHARLIE MORTDECAI";"David KOEPP";"141429";"Tous publics";"GRANDE-BRETAGNE";"21/01/2015"
"CHIC !";"Jérôme CORNUAU";"121960";"Tous publics";"FRANCE";"07/01/2015"
"COPS: LES FORCES DU DESORDRE";"Luke GREENFIELD";"141153";"Tous publics";"ETATS-UNIS";"21/01/2015"
"DEUX TEMPS TROIS MOUVEMENTS";"Christophe COUSIN";"122879";"Tous publics avec avertissement";"CANADA, FRANCE";"28/01/2015"
"DISCOUNT";"Louis-Julien PETIT";"138154";"Tous publics";"FRANCE";"21/01/2015"
"DISPARUE EN HIVER";"Christophe LAMOTTE";"117439";"Tous publics";"BELGIQUE, FRANCE, LUXEMBOURG";"21/01/2015"
"DOS A LA MER";"Steve MOREAU";"127507";"Tous publics";"FRANCE";"14/01/2015"
"EL NINO";"Daniel MONZON";"135282";"Tous publics";"ESPAGNE";"21/01/2015"
"EN QUETE DE SENS";"Nathanael COSTE, Marc DE LA MENARDIERE";"141374";"Tous publics";"FRANCE";"28/01/2015"
"FOXCATCHER";"Bennett MILLER";"141497";"Tous publics";"ETATS-UNIS";"21/01/2015"
"HARD DAY";"Seong-Hun KIM ";"141372";"Tous publics avec avertissement";"CORÉE DU SUD";"07/01/2015"
"HEINRICH HIMMLER - THE DECENT ONE";"Vanessa LAPA";"141332";"Tous publics avec avertissement";"ISRAËL";"14/01/2015"
"HOPE";"Boris LOJKINE";"124722";"Tous publics avec avertissement";"FRANCE";"28/01/2015"
"IMITATION GAME";"Morten TYLDUM";"141321";"Tous publics";"GRANDE-BRETAGNE";"28/01/2015"
"INTO THE WOODS - PROMENONS-NOUS DANS LES BOIS";"Rob MARSHALL";"141421";"Tous publics";"GRANDE-BRETAGNE";"28/01/2015"
"INVINCIBLE";"Angelina JOLIE PITT";"141317";"Tous publics avec avertissement";"ETATS-UNIS";"07/01/2015"
"JOKER";"Simon WEST";"141099";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"14/01/2015"
"LA DAME EN NOIR 2 : L'ANGE DE LA MORT";"Tom HARPER";"141376";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"14/01/2015"
"LA RANCON DE LA GLOIRE";"Xavier BEAUVOIS";"131344";"Tous publics";"BELGIQUE, FRANCE, SUISSE";"07/01/2015"
"L'AFFAIRE S.K.1";"Frederic TELLIER";"131107";"Tous publics avec avertissement";"FRANCE";"07/01/2015"
"LEA UN ANGE DANS MA MAISON";"Jacques-Hervé FICHET";"140537";"Tous publics";"FRANCE";"21/01/2015"
"LES NOUVEAUX SAUVAGES";"Damian SZIFRON";"140230";"Tous publics avec avertissement";"ARGENTINE";"14/01/2015"
"LES NUITS D'ETE";"Mario FANFANI";"134202";"Tous publics";"FRANCE";"28/01/2015"
"LES REGLES DU JEU";"Claudine BORIES, Patrice CHAGNARD";"136875";"Tous publics";"FRANCE";"07/01/2015"
"LES SOUVENIRS";"Jean-Paul ROUVE";"137244";"Tous publics";"BELGIQUE, FRANCE";"14/01/2015"
"L'INTERVIEW QUI TUE ";"Evan GOLDBERG, Seth ROGEN";"140704";"Tous publics avec avertissement";"ETATS-UNIS";"28/01/2015"
"LISTEN UP PHILIP";"Alex Ross PERRY";"141369";"Tous publics";"ETATS-UNIS";"21/01/2015"
"LOIN DES HOMMES";"David OELHOFFEN";"135495";"Tous publics";"FRANCE";"14/01/2015"
"MARUSSIA";"Eva PERVOLOVICI";"132254";"Tous publics";"FRANCE, RUSSIE";"21/01/2015"
"MY TWO DADDIES";"Travis FINE";"141353";"Tous publics";"ETATS-UNIS";"07/01/2015"
"NUITS BLANCHES SUR LA JETEE";"Paul VECCHIALI";"138861";"Tous publics";"";"28/01/2015"
"PARADJANOV";"Olena FETISOVA, Serge AVEDIKIAN";"133138";"Tous publics";"ARMENIE, FRANCE, GEORGIE, UKRAINE";"07/01/2015"
"PHOENIX";"Christian PETZOLD";"141399";"Tous publics";"ALLEMAGNE";"28/01/2015"
"PIONNIER";"Erik SKJOLDBJAERG";"134907";"Tous publics";"ALLEMAGNE, FRANCE, NORVÈGE, SUÈDE";"28/01/2015"
"QUEEN AND COUNTRY";"John BOORMAN";"138158";"Tous publics";"FRANCE, GRANDE-BRETAGNE, IRLANDE, ROUMANIE";"07/01/2015"
"RENDEZ-VOUS A ATLIT";"Shirel AMITAI";"137830";"Tous publics";"FRANCE, ISRAËL";"21/01/2015"
"SAM";"Elena HAZANOV";"141518";"Tous publics";"SUISSE";"28/01/2015"
"SNOW THERAPY";"Ruben OSTLUND";"136195";"Tous publics";"DANEMARK, FRANCE, SUÈDE";"28/01/2015"
"SOMEONE YOU LOVE";"Pernille FISCHER CHRISTENSEN";"141309";"Tous publics";"DANEMARK";"21/01/2015"
"SOUS X";"Jean-Michel CORREIA";"137662";"Tous publics";"FRANCE";"14/01/2015"
"SOUVENIRS DE MARNIE";"Hiromasa YONEBAYASHI";"141059";"Tous publics";"JAPON";"14/01/2015"
"SUD EAU NORD DEPLACER";"Antoine BOUTET";"131426";"Tous publics";"FRANCE";"28/01/2015"
"TAKEN 3";"Olivier MEGATON";"139504";"Tous publics avec avertissement";"FRANCE";"21/01/2015"
"THE CUT";"Fatih AKIN";"136104";"Tous publics avec avertissement";"ALLEMAGNE, FRANCE";"14/01/2015"
"THE SMELL OF US";"Larry CLARK";"132343";"Interdiction aux mineurs -16 ans avec avertissement";"FRANCE";"14/01/2015"
"TOUTE PREMIERE FOIS";"Noemie SAGLIO, Maxime GOVARE";"137803";"Tous publics";"FRANCE";"28/01/2015"
"UNE MERVEILLEUSE HISTOIRE DU TEMPS";"James MARSH";"141366";"Tous publics";"GRANDE-BRETAGNE";"21/01/2015"
"VALENTIN VALENTIN";"Pascal THOMAS";"138455";"Tous publics";"FRANCE";"07/01/2015"
"WILD";"Jean-Marc VALLEE";"141144";"Tous publics avec avertissement";"ETATS-UNIS";"14/01/2015"
"A 14 ANS";"Helene ZIMMER";"133976";"Tous publics avec avertissement";"FRANCE";"25/02/2015"
"AFRICAINE";"Stéphanie GIRERD";"127628";"Tous publics";"FRANCE";"11/02/2015"
"AMERICAN SNIPER";"Clint EASTWOOD";"141476";"Tous publics avec avertissement";"ETATS-UNIS";"18/02/2015"
"AMOUR FOU";"Jessica HAUSNER";"136706";"Tous publics";"ALLEMAGNE, AUTRICHE, FRANCE";"04/02/2015"
"ANNIE";"Will GLUCK";"140738";"Tous publics";"ETATS-UNIS";"25/02/2015"
"BIEN DE CHEZ NOUS";"Henri DE LATOUR";"141477";"Tous publics";"FRANCE";"25/02/2015"
"BIRDMAN";"Alejandro Gonzalez INARRITU";"140693";"Tous publics";"ETATS-UNIS";"25/02/2015"
"BIS";"Dominique FARRUGIA";"131667";"Tous publics";"FRANCE";"18/02/2015"
"BOB L'EPONGE, LE FILM : UN HEROS SORT DE L'EAU";"Paul TIBBITT";"141178";"Tous publics";"ETATS-UNIS";"18/02/2015"
"BONS A RIEN";"Gianni DI GREGORIO";"141673";"Tous publics";"ITALIE";"18/02/2015"
"CASTING SAUVAGE";"Galaad HEMSI";"141351";"Tous publics";"FRANCE";"11/02/2015"
"CINQUANTE NUANCES DE GREY";"Sam TAYLOR JOHNSON";"141379";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"11/02/2015"
"FELIX ET MEIRA";"Maxime GIROUX";"141385";"Tous publics";"CANADA";"04/02/2015"
"FRANK";"Lenny ABRAHAMSON";"141672";"Tous publics";"IRLANDE";"04/02/2015"
"GUS PETIT OISEAU, GRAND VOYAGE";"Dominique MONFERY, Christian DE VITA";"120638";"Tous publics";"FRANCE";"04/02/2015"
"HUNGRY HEARTS";"Saverio COSTANZO";"141539";"Tous publics avec avertissement";"ITALIE";"25/02/2015"
"IL EST DIFFICILE D ETRE UN DIEU";"Alexei GUERMAN";"141313";"Interdiction aux mineurs -12 ans";"RUSSIE";"11/02/2015"
"IT FOLLOWS";"David Robert MITCHELL";"141536";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"04/02/2015"
"JUPITER LE DESTIN DE L'UNIVERS";"Andy WACHOWSKI, Lana WACHOWSKI";"139979";"Tous publics";"GRANDE-BRETAGNE";"04/02/2015"
"KADDISH POUR UN AMI";"Leo KHASIN";"141542";"Tous publics";"ALLEMAGNE";"04/02/2015"
"KERTU";"Ilmar RAAG";"141193";"Tous publics avec avertissement";"ESTONIE";"04/02/2015"
"KINGSMAN : SERVICES SECRETS";"Matthew VAUGHN";"141323";"Tous publics avec avertissement";"GRANDE-BRETAGNE";"18/02/2015"
"LA DUCHESSE DE VARSOVIE";"Joseph MORDER";"113326";"Tous publics";"FRANCE";"25/02/2015"
"LA GRANDE AVENTURE DE MAYA L ABEILLE";"Alexs STADERMANN";"141523";"Tous publics";"ALLEMAGNE";"04/02/2015"
"LA NUIT AU MUSEE : LE SECRET DES PHARAONS";"Shawn LEVY";"141154";"Tous publics";"ETATS-UNIS";"04/02/2015"
"LE DERNIER LOUP";"Jean-Jacques ANNAUD";"136726";"Tous publics";"CHINE, FRANCE";"25/02/2015"
"LE PARADIS DE SANDRA";"Marianne ROUSSY";"119825";"Tous publics";"FRANCE";"04/02/2015"
"LE PRIX A PAYER";"Harold CROOKS";"141428";"Tous publics";"CANADA";"04/02/2015"
"L'ENQUETE";"Vincent GARENQ";"135661";"Tous publics";"BELGIQUE, FRANCE, LUXEMBOURG";"11/02/2015"
"LES CHEVALIERS DU ZODIAQUE - LA LEGENDE DU SANCTUAIRE";"Sato KEIICHI";"141563";"Tous publics";"JAPON";"25/02/2015"
"LES JOURS VENUS";"Romain GOUPIL";"134175";"Tous publics";"FRANCE";"04/02/2015"
"LES MERVEILLES";"Alice ROHRWACHER";"141566";"Tous publics";"ALLEMAGNE, ITALIE, SUISSE";"11/02/2015"
"LES MOOMINS SUR LA RIVIERA";"Xavier PICARD, Hanna HEMILA";"137296";"Tous publics";"FINLANDE, FRANCE";"04/02/2015"
"LES NOUVEAUX HEROS";"Chris WILLIAMS, Don HALL";"141058";"Tous publics";"ETATS-UNIS";"11/02/2015"
"LOIN DE MON PERE";"Keren YEDAYA";"139212";"Interdiction aux mineurs -16 ans";"FRANCE, ISRAËL";"25/02/2015"
"MAX ET LENNY";"Frédéric NICOLAS";"136917";"Tous publics";"FRANCE";"18/02/2015"
"MON FILS";"Eran RIKLIS";"136183";"Tous publics";"ALLEMAGNE, FRANCE, ISRAËL";"11/02/2015"
"PAPA OU MAMAN";"Martin BOURBOULON";"127032";"Tous publics";"FRANCE";"04/02/2015"
"PITCHIPOI";"Charles NAJMAN";"124846";"Tous publics";"FRANCE";"04/02/2015"
"PROJECT ALMANAC";"Dean ISRAELITE";"138999";"Tous publics";"ETATS-UNIS";"25/02/2015"
"REALITE";"Quentin DUPIEUX";"124620";"Tous publics";"FRANCE";"18/02/2015"
"RED ARMY";"Gabe POLSKY";"141569";"Tous publics";"ETATS-UNIS";"25/02/2015"
"RIEN A FAIRE...";"Julien IZARD";"140994";"Tous publics avec avertissement";"FRANCE";"12/02/2015"
"SOUS LE PONT D AVIGNON";"Florine CLAP";"141690";"Tous publics";"FRANCE";"28/02/2015"
"SPARTACUS  CASSANDRA";"Jean-Baptiste NUGUET";"138478";"Tous publics";"FRANCE";"11/02/2015"
"TERRITOIRE DE LA LIBERTE";"Alexander KUZNETSOV";"141000";"Tous publics";"FRANCE, RUSSIE";"04/02/2015"
"THINGS PEOPLE DO";"Saar KLEIN";"141383";"Tous publics";"ETATS-UNIS";"18/02/2015"
"TRACERS";"Daniel BENMAYOR";"141675";"Tous publics";"ETATS-UNIS";"25/02/2015"
"TWO YEARS AT SEA";"Ben RIVERS";"141356";"Tous publics";"GRANDE-BRETAGNE";"04/02/2015"
"UN VILLAGE PRESQUE PARFAIT";"Stephane MEUNIER";"131148";"Tous publics";"FRANCE";"11/02/2015"
"UNE HISTOIRE AMERICAINE";"Armel HOSTIOU";"141032";"Tous publics";"FRANCE";"11/02/2015"
"VINCENT N'A PAS D'ECAILLES";"Thomas SALVADOR";"122977";"Tous publics";"FRANCE";"18/02/2015"
"1001 GRAMMES";"Bent HAMER";"136546";"Tous publics";"ALLEMAGNE, FRANCE, NORVÈGE";"11/03/2015"
"A LA FOLIE";"Bing WANG";"141812";"Tous publics";"CHINE";"11/03/2015"
"A TROIS ON Y VA";"Jérôme BONNELL";"139283";"Tous publics";"FRANCE";"25/03/2015"
"ANNEM VE BABAM (MA MERE ET MON PERE)";"Muret ISITMEZ";"140700";"Tous publics";"FRANCE";"11/03/2015"
"ANTON TCHEKHOV - 1890";"René FÉRET";"135985";"Tous publics";"FRANCE";"18/03/2015"
"BIG EYES";"Tim BURTON";"141811";"Tous publics";"ETATS-UNIS";"18/03/2015"
"CENDRILLON";"Kenneth BRANAGH";"141864";"Tous publics";"GRANDE-BRETAGNE";"25/03/2015"
"CETTE LUMIERE N EST PAS CELLE DU SOLEIL";"Bernard FAVRE";"142207";"Tous publics";"FRANCE";"18/03/2015"
"CHAPPIE";"Neill BLOMKAMP";"141322";"Tous publics avec avertissement";"ETATS-UNIS";"04/03/2015"
"CHELLI";"Asaf KORMAN";"141684";"Tous publics avec avertissement";"ISRAËL";"04/03/2015"
"CITIZENFOUR";"Laura POITRAS";"141674";"Tous publics";"ALLEMAGNE";"04/03/2015"
"CROSSWIND";"Martti HELDE";"141764";"Tous publics";"ESTONIE";"11/03/2015"
"DE L'AUTRE COTE DE LA PORTE";"Laurence THRUSH";"141852";"Tous publics";"JAPON";"11/03/2015"
"DEAR WHITE PEOPLE";"Justin SIMIEN";"141798";"Tous publics";"ETATS-UNIS";"25/03/2015"
"DIVERGENTE 2 L INSURRECTION";"Robert SCHWENTKE";"141884";"Tous publics";"ETATS-UNIS";"18/03/2015"
"DIVERSION";"Glenn FICARRA, John REQUA";"141752";"Tous publics";"ETATS-UNIS";"25/03/2015"
"EL EVANGELIO DE LA CARNE";"Eduardo MENDOZA";"141583";"Tous publics avec avertissement";"PEROU";"25/03/2015"
"ENFANCES NOMADES";"Christophe BOULA";"139314";"Tous publics";"FRANCE";"25/03/2015"
"GENTE DE BIEN";"Franco LOLLI";"127486";"Tous publics";"COLOMBIE, FRANCE";"18/03/2015"
"HACKER";"Michael MANN";"141845";"Tous publics avec avertissement";"ETATS-UNIS";"18/03/2015"
"HORSEHEAD";"Romain BASSET";"141647";"Interdiction aux mineurs -12ans avec avertissement";"FRANCE";"11/03/2015"
"INDESIRABLES";"Philippe BARASSAT";"138321";"Tous publics avec avertissement";"FRANCE";"18/03/2015"
"INHERENT VICE";"Paul Thomas ANDERSON";"141618";"Tous publics";"ETATS-UNIS";"04/03/2015"
"KOMMUNISTEN";"Jean-Marie STRAUB";"140299";"Tous publics";"FRANCE";"11/03/2015"
"L AMOUR NE PARDONNE PAS";"Stefano CONSIGLIO";"138702";"Tous publics";"FRANCE, ITALIE";"11/03/2015"
"LA DOUBLE CROISEE";"Jean-Charles ATZENI";"133857";"Tous publics";"FRANCE";"18/03/2015"
"LA FEMME BOURREAU";"Jean Denis BONAN";"139531";"Tous publics";"FRANCE";"11/03/2015"
"LA SAPIENCE";"Eugene GREEN";"137645";"Tous publics";"FRANCE, ITALIE";"25/03/2015"
"LA VIE DES GENS";"Olivier DUCRAY";"139914";"Tous publics";"FRANCE";"04/03/2015"
"L'ABRI";"Fernand MELGAR";"141682";"Tous publics";"SUISSE";"04/03/2015"
"L'ANTIQUAIRE";"François MARGOLIN";"132594";"Tous publics";"FRANCE";"18/03/2015"
"L'ART DE LA FUGUE";"Brice CAUVIN";"120339";"Tous publics";"FRANCE";"04/03/2015"
"LAZARUS EFFECT";"David GELB";"141809";"Tous publics avec avertissement";"ETATS-UNIS";"11/03/2015"
"LE CERCLE";"Stefan HAUPT";"141792";"Tous publics";"SUISSE";"04/03/2015"
"LE DERNIER COUP DE MARTEAU";"Alix DELAPORTE";"130693";"Tous publics";"FRANCE";"11/03/2015"
"LE FAUSSAIRE";"Sam CULLMAN, Jennifer GRAUSMAN";"141850";"Tous publics";"ETATS-UNIS";"18/03/2015"
"LE GRAND MUSEE";"Johannes HOLZHAUSEN";"141562";"Tous publics";"AUTRICHE";"04/03/2015"
"LE PETIT HOMME";"Sudabeh MORTEZAI";"141533";"Tous publics";"AUTRICHE";"25/03/2015"
"LE PRESIDENT";"Mohsen MAKHMALBAF";"139379";"Tous publics";"ALLEMAGNE, FRANCE, GEORGIE, GRANDE-BRETAGNE";"18/03/2015"
"L'ENNEMI DE LA CLASSE";"Rok BICEK";"141333";"Tous publics";"SLOVÉNIE";"04/03/2015"
"LES CHEBABS DE YARMOUK";"Axel SALVATORI-SINZ";"134079";"Tous publics";"FRANCE";"18/03/2015"
"LES PORTES DU SOLEIL - ALGERIE POUR TOUJOURS";"Jean-Marc MINÉO";"141527";"Interdiction aux mineurs -12 ans";"ALGÉRIE";"18/03/2015"
"L'HOMME DES FOULES";"Marcelo GOMES, Cao GUIMARAES";"141576";"Tous publics";"BRÉSIL";"25/03/2015"
"LIBRES !";"Jean-Paul JAUD";"139595";"Tous publics";"FRANCE";"11/03/2015"
"LOUISE";"Jean-François GALLOTTE";"140116";"Tous publics";"FRANCE";"18/03/2015"
"NIGHT RUN";"Jaume COLLET-SERRA";"141660";"Tous publics avec avertissement";"ETATS-UNIS";"11/03/2015"
"PARIS OF THE NORTH";"Hafsteinn Gunnar SIGURDSSON";"137716";"Tous publics";"DANEMARK, FRANCE, ISLANDE";"25/03/2015"
"PRISONNIERE DU CAUCASE";"Leonid GAIDAI";"142175";"Tous publics";"RUSSIE";"26/03/2015"
"RETOUR A LA VIE";"Llaria BORRELLI, Guido FREDDI";"141703";"Tous publics";"ITALIE";"04/03/2015"
"REVOLUTION ZENDJ";"Tariq TEGUIA";"141819";"Tous publics";"ALGÉRIE, FRANCE";"11/03/2015"
"SELMA";"Ava DUVERNAY";"141856";"Tous publics";"ETATS-UNIS";"11/03/2015"
"SNOW IN PARADISE";"Andrew HULME";"141577";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"04/03/2015"
"STILL ALICE";"Wash WESTMORELAND, Richard GLATZER";"141389";"Tous publics";"ETATS-UNIS";"18/03/2015"
"THE VOICES";"Marjane SATRAPI";"141861";"Interdiction aux mineurs -12 ans";"ALLEMAGNE";"11/03/2015"
"TOKYO FIANCEE";"Stefan LIBERSKI";"136476";"Tous publics";"BELGIQUE, CANADA, FRANCE";"25/03/2015"
"TROIS CENTS HOMMES";"Emmanuel GRAS, Aline DALBIS";"139503";"Tous publics";"";"25/03/2015"
"TU DORS NICOLE";"Stéphane LAFLEUR";"141813";"Tous publics";"CANADA";"18/03/2015"
"UN AMOUR";"Richard COPANS";"128991";"Tous publics";"FRANCE";"25/03/2015"
"UN HOMME IDEAL";"Yann GOZLAN";"129911";"Tous publics";"FRANCE";"18/03/2015"
"UN SORT POUR ELOIGNER LES TENEBRES";"Benjamin RIVERS, Benjamin RUSSELL";"132990";"Tous publics";"FRANCE";"18/03/2015"
"VOYAGE EN CHINE";"Zoltan MAYER";"138822";"Tous publics";"FRANCE";"25/03/2015"
"WASTE LAND";"Pieter VAN HEES";"141789";"Interdiction aux mineurs -12 ans";"BELGIQUE";"25/03/2015"
"WHITE SHADOW";"Noaz DESHE";"141944";"Interdiction aux mineurs -12 ans";"ITALIE";"11/03/2015"
"ADY GASY";"Lova NANTENAINA";"138578";"Tous publics";"FRANCE";"08/04/2015"
"ARNAUD FAIT SON 2EME FILM";"Arnaud VIARD";"138946";"Tous publics";"FRANCE";"01/04/2015"
"AVENGERS L ERE D ULTRON";"Joss WHEDON";"142124";"Tous publics";"ETATS-UNIS";"22/04/2015"
"BEYOND CLUELESS";"Charlie LYNE";"142334";"Tous publics avec avertissement";"GRANDE-BRETAGNE";"29/04/2015"
"BLIND";"Eskil VOGT";"141995";"Interdiction aux mineurs -12ans avec avertissement";"NORVÈGE";"29/04/2015"
"BONTE DIVINE";"Vinko BRESAN";"141886";"Tous publics";"CROATIE";"01/04/2015"
"BROADWAY THERAPY";"Peter BOGDANOVITCH";"142125";"Tous publics";"ETATS-UNIS";"22/04/2015"
"CAKE";"Daniel BARNZ";"141866";"Tous publics";"ETATS-UNIS";"08/04/2015"
"CAPRICE";"Emmanuel MOURET";"138835";"Tous publics";"FRANCE";"22/04/2015"
"CERISE";"Jerome ENRICO";"138781";"Tous publics";"FRANCE";"01/04/2015"
"CLOCHETTE ET LA CREATURE LEGENDAIRE";"Steve LOTER";"141753";"Tous publics";"ETATS-UNIS";"08/04/2015"
"COMPOSTELLE LE CHEMIN DE LA VIE";"Freddy MOUCHARD";"139781";"Tous publics";"FRANCE";"01/04/2015"
"CONNASSE PRINCESSE DES COEURS";"Noemie SAGLIO, Eloise LANG";"140883";"Tous publics";"FRANCE";"29/04/2015"
"DARK PLACES";"Gilles PAQUET-BRENNER";"142110";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"08/04/2015"
"DIEUDAMNE";"Kris KRAMSKI";"141788";"Interdiction aux mineurs -12ans avec avertissement";"FRANCE";"08/04/2015"
"EDGAR MORIN, CHRONIQUE D'UN REGARD";"Céline GAILLEURD, Olivier BOHLER";"142322";"Tous publics";"FRANCE";"29/04/2015"
"EN EQUILIBRE";"Denis DERCOURT";"139686";"Tous publics";"FRANCE";"15/04/2015"
"EN ROUTE !";"Tim JOHNSON ";"141702";"Tous publics";"ETATS-UNIS";"15/04/2015"
"ENFANT 44";"Daniel ESPINOSA";"142043";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"15/04/2015"
"ENTRE AMIS";"Olivier BAROUX";"139681";"Tous publics";"FRANCE";"22/04/2015"
"EVERYTHING WILL BE FINE";"Wim WENDERS";"138312";"Tous publics";"ALLEMAGNE, CANADA, FRANCE, SUÈDE";"22/04/2015"
"FAST AND FURIOUS 7";"James WAN";"141974";"Tous publics avec avertissement";"ETATS-UNIS";"01/04/2015"
"GOOD KILL";"Andrew NICCOL";"141741";"Tous publics";"ETATS-UNIS";"22/04/2015"
"HISTOIRE DE JUDAS";"Rabah AMEUR-ZAIMECHE";"137964";"Tous publics";"ALGÉRIE, FRANCE";"08/04/2015"
"HOWARD ZINN UNE HISTOIRE AMERICAINE";"Daniel MERMET, Olivier AZAM";"129106";"Tous publics";"FRANCE";"29/04/2015"
"INDIAN PALACE : SUITE ROYALE";"John MADDEN";"141701";"Tous publics";"GRANDE-BRETAGNE";"01/04/2015"
"JACK";"Edward BERGER";"141683";"Tous publics";"ALLEMAGNE";"08/04/2015"
"JAMAIS DE LA VIE";"Pierre JOLIVET";"136111";"Tous publics";"FRANCE";"08/04/2015"
"JAUJA";"Lisandro ALONSO";"141965";"Tous publics";"ALLEMAGNE, ARGENTINE, DANEMARK, ETATS-UNIS, FRANCE, MEXIQUE, PAYS-BAS";"22/04/2015"
"JE SUIS ANNEMARIE SCHWARZENBACH";"Véronique AUBOUY";"137569";"Tous publics";"FRANCE";"15/04/2015"
"JOURNAL D'UNE FEMME DE CHAMBRE";"Benoît JACQUOT";"136639";"Tous publics";"BELGIQUE, FRANCE";"01/04/2015"
"L AZEGADO";"Guy CHAPOUILLIE";"141815";"Tous publics";"FRANCE";"15/04/2015"
"LA MAISON AU TOIT ROUGE";"Yoji YAMADA";"141951";"Tous publics";"JAPON";"01/04/2015"
"LA PROMESSE D'UNE VIE";"Russell CROWE";"142180";"Tous publics";"ETATS-UNIS";"15/04/2015"
"LA VERITABLE HISTOIRE DE ROBIN DES BOIS";"Anthony MARCIANO";"140026";"Tous publics";"BELGIQUE, FRANCE";"15/04/2015"
"L'ASTRAGALE";"Brigitte SY";"127241";"Tous publics";"FRANCE";"08/04/2015"
"LE CHALLAT DE TUNIS";"Kaouther BEN HANIA";"138841";"Tous publics";"FRANCE, TUNISIE";"01/04/2015"
"LE DOS ROUGE";"Antoine BARRAUD";"141125";"Tous publics";"FRANCE";"22/04/2015"
"LE LABYRINTHE DU SILENCE";"Giulio RICCIARELLI";"141432";"Tous publics";"ALLEMAGNE";"29/04/2015"
"LE TOURNOI";"Elodie NAMER";"139065";"Tous publics";"FRANCE";"29/04/2015"
"L'ECHAPPEE, A LA POURSUITE D'ANNIE LEBRUN";"Valerie MINETTO";"142319";"Tous publics";"FRANCE";"29/04/2015"
"LEOPARDI IL GIOVANE FAVOLOSO";"Mario MARTONE";"142048";"Tous publics";"ITALIE";"08/04/2015"
"LES CHATEAUX DE SABLE";"Olivier JAHAN";"139085";"Tous publics";"FRANCE";"01/04/2015"
"LES ENQUETES DU DEPARTEMENT V : PROFANATION";"Mikkel NORGAARD";"141894";"Interdiction aux mineurs -12 ans";"DANEMARK";"08/04/2015"
"LES GORILLES";"Tristan AUROUET";"136137";"Tous publics";"FRANCE";"15/04/2015"
"LES MESSAGERS";"Laetitia TURA, Helene CROUZILLAT";"141860";"Tous publics";"FRANCE";"08/04/2015"
"LES OPTIMISTES";"Gunhild WESTHAGEN MAGNOR";"142195";"Tous publics";"NORVÈGE";"29/04/2015"
"LOBA";"Catherine BÉCHARD";"142172";"Tous publics";"ESPAGNE";"08/04/2015"
"LOST RIVER";"Ryan GOSLING";"141922";"Tous publics avec avertissement";"ETATS-UNIS";"08/04/2015"
"NINGEN";"Guillaume GIOVANETTI, Cagla ZENCIRCI";"142017";"Tous publics";"JAPON";"01/04/2015"
"NOS FEMMES";"Richard BERRY";"140097";"Tous publics";"FRANCE";"29/04/2015"
"ON EST VIVANTS";"Carmen CASTILLO";"135134";"Tous publics";"BELGIQUE, FRANCE";"29/04/2015"
"OUIJA";"Stiles WHITE";"142255";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"29/04/2015"
"POURQUOI J'AI PAS MANGE MON PERE";"Jamel DEBBOUZE";"94279";"Tous publics";"FRANCE, ITALIE";"08/04/2015"
"PULP: A FILM ABOUT LIFE, DEATH AND SUPERMARKETS";"Florian HABICHT";"141929";"Tous publics";"GRANDE-BRETAGNE";"01/04/2015"
"SAN FRANCISCO 1985";"Chris Mason JOHNSON";"142031";"Tous publics";"ETATS-UNIS";"01/04/2015"
"SANGRE DE MI SANGRE";"Jérémie REICHENBACH";"138440";"Tous publics";"FRANCE";"22/04/2015"
"SAYAT NOVA - LA COULEUR DE LA GRENADE";"Serguei PARADJANOV ";"142584";"Tous publics";"ARMENIE";"22/04/2015"
"SEA FOG (LES CLANDESTINS)";"Shim SUNG-BO";"141967";"Tous publics avec avertissement";"CORÉE DU SUD";"01/04/2015"
"SHAUN LE MOUTON";"Mark BURTON, Richard STARZAK";"141911";"Tous publics";"GRANDE-BRETAGNE";"01/04/2015"
"SUITE FRANCAISE";"Saul DIBB";"137266";"Tous publics";"GRANDE-BRETAGNE";"01/04/2015"
"TAXI TEHERAN";"Jafar PANAHI";"141966";"Tous publics";"IRAN";"15/04/2015"
"THE HUMBLING";"Barry LEVINSON";"142035";"Tous publics";"ETATS-UNIS";"08/04/2015"
"UN JEUNE POETE";"Damien MANIVEL";"141098";"Tous publics";"FRANCE";"29/04/2015"
"UN PIGEON PERCHE SUR UNE BRANCHE PHILOSOPHAIT SUR L'EXISTENCE";"Roy ANDERSSON";"132829";"Tous publics";"ALLEMAGNE, FRANCE, NORVÈGE, SUÈDE";"29/04/2015"
