titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"TOTO ET SES SOEURS";"Alexander NANAU";"143413";"Tous publics";"ROUMANIE";"06/01/2016"
"TOUT EN HAUT DU MONDE";"Remi CHAYE";"127017";"Tous publics";"DANEMARK, FRANCE";"27/01/2016"
"TOUT SCHUSS";"François PREVOT LEYGONIE, Stephan ARCHINARD";"137874";"Tous publics";"FRANCE";"13/01/2016"
"A UNE HEURE INCERTAINE";"Carlos SABOGA";"143834";"Tous publics avec avertissement";"";"10/02/2016"
"ALASKA";"Claudio CUPELLINI";"139841";"Tous publics";"FRANCE, ITALIE";"10/02/2016"
"ALVIN ET LES CHIPMUNKS: A FOND LA CAISSE";"Walt BECKER";"143734";"Tous publics";"ETATS-UNIS";"03/02/2016"
"AMIS PUBLICS";"Edouard PLUVIEUX";"142363";"Tous publics";"FRANCE";"17/02/2016"
"ANOMALISA";"Charlie KAUFMAN";"143501";"Tous publics";"ETATS-UNIS";"03/02/2016"
"AVE CESAR !";"Joel COEN, Ethan COEN";"144024";"Tous publics";"ETATS-UNIS";"17/02/2016"
"BEIRA MAR L'AGE DES PREMIERES FOIS";"Filipe MATZEMBACHER, Marcio REOLON";"143499";"Tous publics";"BRÉSIL";"17/02/2016"
"BELGICA";"Felix VAN GROENINGEN";"140841";"Interdiction aux mineurs -12 ans";"BELGIQUE, FRANCE, PAYS-BAS";"02/03/2016"
"CE SENTIMENT DE L'ETE";"Mikhael HERS";"126923";"Tous publics";"ALLEMAGNE, FRANCE";"17/02/2016"
"CELIBATAIRE, MODE D'EMPLOI";"Christian DITTER";"144026";"Tous publics";"ETATS-UNIS";"02/03/2016"
"CHAIR DE POULE";"Rob LETTERMAN";"143214";"Tous publics";"ETATS-UNIS";"10/02/2016"
"CHOCOLAT";"Roschdy ZEM";"141419";"Tous publics";"FRANCE";"03/02/2016"
"CRACHE COEUR";"Julia KOWALSKI";"140564";"Tous publics";"FRANCE, POLOGNE";"17/02/2016"
"DANS MA TETE UN ROND POINT";"Hassen FERHANI";"143950";"Tous publics";"FRANCE";"24/02/2016"
"DEADPOOL";"Tim MILLER";"143737";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"10/02/2016"
"DEUX REMI, DEUX";"Pierre LEON";"143473";"Tous publics";"FRANCE";"02/03/2016"
"DIRTY PAPY";"Dan MAZER";"143917";"Tous publics avec avertissement";"ETATS-UNIS";"03/02/2016"
"DOFUS LIVRE 1 JULITH";"Anthony ROUX, Jean Jacques DENIS";"138475";"Tous publics avec avertissement";"FRANCE";"03/02/2016"
"EL CLAN";"Pablo TRAPERO";"143942";"Interdiction aux mineurs -12 ans";"ARGENTINE";"10/02/2016"
"EPERDUMENT";"Pierre GODEAU";"141900";"Tous publics";"FRANCE";"02/03/2016"
"FILLE OU GARCON, MON SEXE N'EST PAS MON GENRE";"Valerie MITTEAUX";"126052";"Tous publics";"FRANCE";"02/03/2016"
"FREE LOVE";"Peter SOLLETT";"143712";"Tous publics";"ETATS-UNIS";"10/02/2016"
"HEIDI";"Alain GSPONER";"143785";"Tous publics";"ALLEMAGNE";"10/02/2016"
"HOMELAND : IRAK ANNEE ZERO PARTIE 1";"Abbas FAHDEL";"143555";"Tous publics";"IRAK";"10/02/2016"
"HOMELAND : IRAK ANNEE ZERO PARTIE 2";"Abbas FAHDEL";"143556";"Tous publics";"IRAK";"10/02/2016"
"IL FAUT SAVOIR SE CONTENTER DE BEAUCOUP";"Jean-Henri MEUNIER";"143077";"Tous publics";"FRANCE";"10/02/2016"
"JE NE SUIS PAS UN SALAUD";"Emmanuel FINKIEL";"127107";"Tous publics avec avertissement";"FRANCE";"24/02/2016"
"JOSEPHINE S'ARRONDIT";"Marilou BERRY";"139108";"Tous publics";"FRANCE";"10/02/2016"
"KAILI BLUES";"Bi GAN";"143830";"Tous publics";"CHINE";"24/02/2016"
"KVADRAT";"Anatoly IVANOV";"144021";"Tous publics";"FRANCE";"24/02/2016"
"LA CHAMBRE D'EN FACE";"Michael NOER";"143753";"Tous publics";"DANEMARK";"17/02/2016"
"LA CHUTE DE LONDRES";"Babak NAJAFI";"143011";"Interdiction aux mineurs -12ans avec avertissement";"GRANDE-BRETAGNE";"02/03/2016"
"LA FABULEUSE GILLY HOPKINS";"Stephen HEREK";"143968";"Tous publics";"ETATS-UNIS";"24/02/2016"
"LA MARCHEUSE";"Nael MARANDIN";"139642";"Tous publics avec avertissement";"FRANCE";"03/02/2016"
"LA TERRE ET L'OMBRE";"Cesar ACEVEDO";"143796";"Tous publics";"COLOMBIE, FRANCE";"03/02/2016"
"LA TOUR 2 CONTROLE INFERNALE";"Eric JUDOR";"138780";"Tous publics";"BELGIQUE, FRANCE";"10/02/2016"
"LA VACHE";"Mohamed HAMIDI";"141594";"Tous publics";"FRANCE, MAROC";"17/02/2016"
"LE CRIME DU SOMMELIER";"Ferdinando VICENTINI ORGNANI";"144099";"Tous publics";"ITALIE";"02/03/2016"
"LE SILENCE ET LA DOULEUR";"Patrick SERAUDIE";"139775";"Tous publics";"FRANCE";"24/02/2016"
"LE TEMPS DES REVES";"Andreas DRESEN";"139767";"Interdiction aux mineurs -12 ans";"ALLEMAGNE";"03/02/2016"
"LE TRESOR";"Corneliu PORUMBOIU";"142272";"Tous publics";"FRANCE, ROUMANIE";"10/02/2016"
"LES INNOCENTES";"Anne FONTAINE";"141561";"Tous publics";"BELGIQUE, FRANCE, POLOGNE";"10/02/2016"
"LES NAUFRAGES";"David CHARHON";"140582";"Tous publics";"FRANCE";"17/02/2016"
"LES TUCHE 2";"Olivier BAROUX";"142812";"Tous publics";"FRANCE";"03/02/2016"
"LETTERS HOME";"Chantal AKERMAN";"61153";"Tous publics";"FRANCE";"24/02/2016"
"L'HISTOIRE DU GEANT TIMIDE";"Dagur KARI";"143957";"Tous publics";"ISLANDE";"24/02/2016"
"L'HOMME QUI REPARE LES FEMMES LA COLERE D'HIPPOCRATE";"Thierry MICHEL";"143925";"Tous publics avec avertissement";"BELGIQUE";"17/02/2016"
"L'ODORAT";"Kim NGUYEN";"143953";"Tous publics";"CANADA";"10/02/2016"
"L'ORCHESTRE DE MINUIT";"Jérôme COHEN OLIVAR";"144097";"Tous publics";"MAROC";"02/03/2016"
"MAD LOVE IN NEW YORK";"Benny SAFDIE, Joshua SAFDIE";"143929";"Interdiction aux mineurs -12ans avec avertissement";"ETATS-UNIS, FRANCE";"03/02/2016"
"MERCI PATRON !";"Francois RUFFIN";"143100";"Tous publics";"FRANCE";"24/02/2016"
"MINI ET LES VOLEURS DE MIEL";"Jannik HASTRUP, Flemming QUIST MOLLER";"143855";"Tous publics";"DANEMARK";"03/02/2016"
"MOONWALKERS";"Antoine BARDOU JACQUET";"126465";"Tous publics avec avertissement";"BELGIQUE, FRANCE";"02/03/2016"
"NAHID";"Ida PANAHANDEH";"143561";"Tous publics";"IRAN";"24/02/2016"
"NO HOME MOVIE";"Chantal AKERMAN";"141816";"Tous publics";"BELGIQUE, FRANCE";"24/02/2016"
"PATTAYA";"Franck GASTAMBIDE";"141970";"Tous publics avec avertissement";"FRANCE";"24/02/2016"
"PEACE TO US IN OUR DREAMS";"Sharunas BARTAS";"143985";"Tous publics";"FRANCE, LITUANIE";"10/02/2016"
"PEUR DE RIEN";"Danielle ARBID";"140190";"Tous publics";"FRANCE";"10/02/2016"
"POINT BREAK";"Ericson CORE";"143740";"Tous publics";"ETATS-UNIS";"03/02/2016"
"PREJUDICE";"Antoine CUYPERS";"143186";"Tous publics";"BELGIQUE";"03/02/2016"
"SAIGNEURS";"Raphael GIRARDOT, Vincent GAULLIER";"142193";"Tous publics";"FRANCE";"01/02/2016"
